kuusi	mänty
kuusi	viisi
peli	leikki
aamu	ilta
vasikka	lehmä
juusto	feta
uhka	vaara
vuori	kangas
leipä	vehnä
este	haaste
valo	pimeä
aikuinen	lapsi
mäki	vuori
pelko	kauhu
uni	painajainen
meri	järvi
maa	valtio
multa	maa
honka	mänty
laiva	vene
kuume	flunssa
pyrstötähti	komeetta
observatorio	tähtitorni
äiti	isä
Suomi	suomalainen
Ruotsi	Suomi
elämä	kuolema
syntymä	kuolema
seula	siivilä











samanlaisuus	ero
palkinto	kiitos
peli	soitin
suru	ero
kilpailu	etu
seppä	rauta
lamppu	henki
aika	vuosi
housut	hattu
hissi	portaat
joki	metsä
lapio	vasara
paperi	kangas
multa	hauta
omena	tomaatti
kaupunki	valtio
lämmitys	halko
sairaus	huimaus
äiti	nainen
lapsi	äiti
maa	Suomi
ministeri	presidentti
nainen	lääkäri
meri	harakka
pettymys	epätoivo
vaha	pinta
vaha	kiille
jälleenrakentaminen	rauha
aloitusvalikko	peli
sarjakuva	lehti








viini	harakka
kori	henki
este	vasikka
näppäimistö	kiitos
kirjanmerkki	vehnä
pöytä	hiiri
leipä	vuori
kirjain	palkinto
suru	ruuvi
vaha	henkilö
simpukka	kavio
liima	sukka
puolalainen	vihannes
oppitunti	hai
seesami	vahinko
sirkus	käsi
ennakkonäytös	kahva
vilkku	sairasloma
lumi	ankerias
kylmyys	porkkana
tieto	elämä
savi	epävarmuus
reki	sisilisko
kemia	karonkka
oikku	kaisla
innostus	meri
erämaa	apu
enkeli	puolalainen
kevät	kirjain
porkkana	lasi
hai	seesami
rauha	entisöinti
elämys	vihollinen
leipä	professori
jalokivi	kylmyys
ihminen	virtaus
tilannetaju	jakoavain
nuudeli	lauta
juoma	epävarmuus




sinikello	minuutti



lautanen	lauta
varasto	vara
esitys	esitelmä
näytös	näytelmä
kirjavuus	kirja
puukko	puu
puutuminen	puu
silmu	silmä
taipumus	taipuminen








